# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2707  1.44513E-02     0.01     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1573   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  176         7.7999999999999998E+000         3.1854029645867310E-001         3.1853976861817501E-001         3.5367449355221710E+000         4.7487649324067416E+000        -1.7058769607335418E+000         1.0000000000000000E-002            0.052585           13.183144           12.157156           10.799232            9.755098            8.490514            7.207559            6.543828            6.337787            9.821694           11.447436           10.799163           12.396744           11.014026            9.832672           11.069332            8.768929            9.816420           11.025408           11.068760            8.747379            8.698213            9.836193           11.044633            8.746606           -1.000000
  177         7.7999999999999998E+000         3.1966416267111358E-001         3.1966363270278386E-001         3.5370524165778354E+000         4.7491607280499695E+000        -1.7035056915838129E+000         1.0000000000000000E-002            0.052585           13.173180           12.146457           10.788672            9.745716            8.483610            7.202534            6.538595            6.332670            9.813208           11.437069           10.789130           12.386398           11.003290            9.824575           11.058766            8.761726            9.808243           11.014849           11.058218            8.740190            8.691264            9.828020           11.034059            8.739438           -1.000000
  178         7.7999999999999998E+000         3.2116962345654221E-001         3.2116909062315102E-001         3.5374714815604946E+000         4.7499466312050211E+000        -1.7005824197503336E+000         1.0000000000000000E-002            0.052586           13.160400           12.132637           10.775007            9.733656            8.474957            7.196462            6.532253            6.326487            9.802379           11.423698           10.776187           12.373082           10.989388            9.814283           11.045092            8.752661            9.797839           11.001184           11.044579            8.731141            8.682548            9.817621           11.020373            8.730421           -1.000000
  179         7.7999999999999998E+000         3.2635507133932534E-001         3.2635452841530582E-001         3.5386525705581247E+000         4.7516452317880269E+000        -1.6906729009139323E+000         1.0000000000000000E-002            0.052585           13.120189           12.089552           10.732404            9.695561            8.446452            7.175180            6.510193            6.304884            9.767735           11.381859           10.735607           12.332028           10.946108            9.781143           11.002464            8.722977            9.764388           10.958585           11.002047            8.701505            8.653839            9.784184           10.977716            8.700872           -1.000000
  180         7.7999999999999998E+000         3.3207719997825957E-001         3.3207664584624380E-001         3.5399975622656679E+000         4.7534751158206907E+000        -1.6795896796316234E+000         1.0000000000000000E-002            0.052585           13.074924           12.041000           10.684378            9.652658            8.414531            7.151472            6.485604            6.280836            9.728763           11.334686           10.689882           12.285783           10.897305            9.743883           10.954412            8.689675            9.726776           10.910565           10.954105            8.668258            8.621649            9.746587           10.929630            8.667727           -1.000000
  181         7.7999999999999998E+000         3.5497503174475514E-001         3.5497443360147113E-001         3.5445052205070597E+000         4.7531281161909433E+000        -1.6322411575589246E+000         1.0000000000000000E-002            0.052580           12.897338           11.852937           10.498434            9.483915            8.282619            7.046627            6.377513            6.174775            9.573018           11.150857           10.511653           12.104979           10.708684            9.593822           10.768423            8.552921            9.575553           10.724694           10.768487            8.531683            8.488569            9.595413           10.743525            8.531505           -1.000000
  182         7.7999999999999998E+000         3.8173754388242676E-001         3.8173689356806223E-001         3.5493178208120191E+000         4.7506740475304916E+000        -1.5789598812968975E+000         1.0000000000000000E-002            0.052573           12.703928           11.646908           10.293402            9.296534            8.135830            6.928426            6.255667            6.055109            9.399694           10.948403           10.314568           11.906651           10.500765            9.426577           10.563376            8.400280            9.407099           10.519775           10.563863            8.379231            8.339830            9.427012           10.538338            8.379471           -1.000000
  183         7.7999999999999998E+000         3.9960036574292129E-001         3.9959968024587988E-001         3.5524255126703492E+000         4.7479952576334181E+000        -1.5440995161895994E+000         1.0000000000000000E-002            0.052569           12.580627           11.514265           10.160686            9.174561            8.040578            6.851249            6.175982            5.976791            9.286798           10.817639           10.186647           11.779098           10.366185            9.317557           10.430663            8.300869            9.297333           10.387145           10.431437            8.279940            8.242895            9.317280           10.405525            8.280474           -1.000000
  184         7.7999999999999998E+000         4.4765003611870274E-001         4.4764925389931037E-001         3.5607577575268854E+000         4.7362243251581200E+000        -1.4498286199312445E+000         1.0000000000000000E-002            0.052556           12.254791           11.161609            9.806832            8.847624            7.785643            6.642864            5.960060            5.764955            8.983576           10.469492            9.844510           11.440858           10.007259            9.024407           10.076824            8.033794            9.002316           10.033535           10.078398            8.013174            7.982210            9.022349           10.051419            8.014557           -1.000000
  185         7.7999999999999998E+000         4.8153931266453626E-001         4.8153845977026138E-001         3.5672339166178162E+000         4.7238898160010487E+000        -1.3802305578873419E+000         1.0000000000000000E-002            0.052546           12.014637           10.900421            9.545650            8.606196            7.598858            6.490022            5.800542            5.609612            8.759316           10.212612            9.591466           11.190767            9.741973            8.807516            9.815621            7.837110            8.784104            9.772518            9.817812            7.816716            7.790170            8.804211            9.790037            7.818782           -1.000000
  186         7.7999999999999998E+000         5.1892146900758418E-001         5.1892053516163905E-001         3.5753412218384066E+000         4.7058754186007281E+000        -1.2971956831238398E+000         1.0000000000000000E-002            0.052532           11.723762           10.586342            9.236134            8.321061            7.377596            6.307797            5.609072            5.425453            8.492953            9.907149            9.291153           10.888897            9.426965            8.549545            9.505972            7.603711            8.524655            9.463120            9.508877            7.583576            7.562042            8.544863            9.480251            7.586470           -1.000000
  187         7.7999999999999998E+000         5.6194747620945640E-001         5.6194644434348062E-001         3.5866868597450701E+000         4.6787821532919205E+000        -1.1898964176025790E+000         1.0000000000000000E-002            0.052515           11.344813           10.176666            8.840255            7.957076            7.095758            6.073325            5.358253            5.189412            8.150442            9.516334            8.905687           10.494280            9.022749            8.217226            9.109704            7.304519            8.190630            9.067217            9.113516            7.284703            7.269197            8.210993            9.083921            7.288751           -1.000000
  188         7.7999999999999998E+000         5.9961709375886962E-001         5.9961597008638923E-001         3.5995223581926883E+000         4.6486247442428725E+000        -1.0799726845322981E+000         1.0000000000000000E-002            0.052496           10.936569            9.744344            8.433257            7.586081            6.809519            5.834486            5.104126            4.954287            7.798027            9.110800            8.508286           10.075255            8.605389            7.874612            8.701952            6.998940            7.846469            8.659932            8.706663            6.979438            6.969625            7.867039            8.676292            6.984756           -1.000000
  189         7.7999999999999998E+000         6.1756748285841256E-001         6.1756631191571287E-001         3.6081707378757084E+000         4.6363075691585891E+000        -1.0208930588035001E+000         1.0000000000000000E-002            0.052489           10.678005            9.484863            8.198096            7.377715            6.653042            5.709079            4.977265            4.838850            7.598752            8.871107            8.279232            9.820852            8.362562            7.681060            8.466064            6.830549            7.652020            8.424411            8.471275            6.811239            6.804712            7.672760            8.440636            6.817337           -1.000000
