|            obsdate |      mag | e_mag | magsys | filter | depth_5sig |  zp | observatory | detected |
|     59534.50276309 | 14.00604 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|     59534.50276309 | 13.92518 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|     59534.50276309 | 13.84722 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|     59534.50276309 | 14.19747 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|     59534.50276309 | 15.13919 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|     59534.50276309 | 13.91817 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|     59534.50276309 | 13.94815 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|     59534.50276309 | 14.45298 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|  59681.39001954861 |  17.8091 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
|  59681.39001954861 | 17.04807 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|  59681.39001954861 | 16.64365 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|  59681.39001954861 | 16.98566 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|  59681.39001954861 | 17.32631 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|  59681.39001954861 | 19.00143 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|  59681.39001954861 | 16.60635 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
|  59681.39001954861 | 17.10455 |  0.05 |     AB |      r |        nan | nan |        en12 |     True |
|  59681.39001954861 | 17.46405 |  0.05 |     AB |      i |        nan | nan |        en12 |     True |
|  59589.59409820602 | 15.49857 |  0.05 |   Vega |      U |        nan | nan |        en12 |     True |
|  59589.59409820602 | 15.57813 |  0.05 |   Vega |      B |        nan | nan |        en12 |     True |
|  59589.59409820602 | 14.44734 |  0.05 |   Vega |      V |        nan | nan |        en12 |     True |
|  59589.59409820602 | 14.10688 |  0.05 |   Vega |      R |        nan | nan |        en12 |     True |
|  59589.59409820602 | 14.08091 |  0.05 |   Vega |      I |        nan | nan |        en12 |     True |
|  59589.59409820602 | 16.39703 |  0.05 |     AB |      u |        nan | nan |        en12 |     True |
|  59589.59409820602 | 15.25793 |  0.05 |     AB |      g |        nan | nan |        en12 |     True |
