|        obj |   ra_hms |   dec_dms | filter | exptime | count | binning |                 weight |     note | scheduled |     name |       ra |      dec |                d_L |               prob_vol | stmass |      prob_vol_x_stmass | rank | confidence |                                                  mainTarget |                                                                          FixedTarget |                               id |                    rise |                    transit |                     set | maxalt | moonsep |
| MS181101ab | 13:09:17 | -24:22:55 |    V,R | 120,120 |   5,5 |     1,1 |   0.002753455415552664 |  1331138 |     False |  1331138 |  197.324 | -24.3821 |          36.454789 |   0.002626756981283692 |  0.008 |   0.002753455415552664 |   31 |        1.0 |  Target[name=MS181101ab, ra[deg]=197.324, dec[deg]=-24.3821 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (197.324, -24.3821)> | 0719538d877941f2bc97a27188c99f44 |                         | 2023-04-26 14:08:29.594192 |                         |   27.9 |      94 |
| MS181101ab | 12:58:45 | -17:32:34 |    V,R | 120,120 |   5,5 |     1,1 |  0.0025341747380551788 |  2400685 |     False |  2400685 | 194.6903 | -17.5429 |          55.472794 |   0.000387378040579649 |   0.05 |  0.0025341747380551788 |   32 |        1.0 | Target[name=MS181101ab, ra[deg]=194.6903, dec[deg]=-17.5429 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.6903, -17.5429)> | 898d3ddda91a41d08cbdefe6795df2cc | 2023-04-26T12:36:41.657 | 2023-04-26 14:00:44.822381 | 2023-04-26T15:49:08.622 |   34.8 |      89 |
| MS181101ab | 13:05:23 | -23:31:21 |    V,R | 120,120 |   5,5 |     1,1 |   0.002474800785021392 |  1326524 |     False |  1326524 |  196.348 | -23.5226 |          38.096412 |  0.0015769540610498357 |  0.012 |   0.002474800785021392 |   33 |        1.0 |  Target[name=MS181101ab, ra[deg]=196.348, dec[deg]=-23.5226 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.348, -23.5226)> | ffc24508a6464a8fbfd36add085530d6 |                         | 2023-04-26 14:05:28.328548 |                         |   28.8 |      93 |
| MS181101ab | 12:55:20 | -17:05:47 |    V,R | 120,120 |   5,5 |     1,1 |  0.0020043983332743323 |  2395181 |      True |  2395181 |  193.835 | -17.0965 |          55.186083 |  0.0005131417390010404 |   0.03 |  0.0020043983332743323 |   34 |        1.0 |  Target[name=MS181101ab, ra[deg]=193.835, dec[deg]=-17.0965 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (193.835, -17.0965)> | 22c2608979794f8e836e949f8ecd3688 | 2023-04-26T12:29:48.314 | 2023-04-26 13:58:20.023127 | 2023-04-26T15:50:13.726 |   35.2 |      88 |
| MS181101ab | 13:07:07 | -24:06:37 |    V,R | 120,120 |   5,5 |     1,1 |  0.0011095713243883744 | 13280171 |     False | 13280171 | 196.7825 | -24.1104 |          27.611386 |  0.0008680807293628866 |   0.01 |  0.0011095713243883744 |   35 |        1.0 | Target[name=MS181101ab, ra[deg]=196.7825, dec[deg]=-24.1104 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (196.7825, -24.1104)> | b93520319017472db1822ba2490c8b12 |                         | 2023-04-26 14:06:47.838759 |                         |   28.2 |      94 |
| MS181101ab | 12:58:12 | -21:02:45 |    V,R | 120,120 |   5,5 |     1,1 |   0.001003765318317216 |  2402886 |     False |  2402886 |   194.55 |  -21.046 |          41.782884 | 0.00039434985566141764 |   0.02 |   0.001003765318317216 |   36 |        1.0 |    Target[name=MS181101ab, ra[deg]=194.55, dec[deg]=-21.046 |    <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.55, -21.046)> | 357e80c2781a40cdac3440d05187a079 | 2023-04-26T13:33:35.674 | 2023-04-26 14:00:13.260855 | 2023-04-26T14:57:32.991 |   31.3 |      91 |
| MS181101ab | 13:12:46 | -25:59:11 |    V,R | 120,120 |   5,5 |     1,1 |  0.0008172185486532956 |  2414929 |     False |  2414929 |  198.195 | -25.9866 |          39.885528 |  0.0012974857761926355 |  0.005 |  0.0008172185486532956 |   37 |        1.0 |  Target[name=MS181101ab, ra[deg]=198.195, dec[deg]=-25.9866 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (198.195, -25.9866)> | 0bb81d30472041a1844e8bdb431df56b |                         | 2023-04-26 14:11:16.578480 |                         |   26.3 |      96 |
| MS181101ab | 13:16:43 | -26:50:01 |    V,R | 120,120 |   5,5 |     1,1 |  0.0005923178370378118 | 13457461 |     False | 13457461 | 199.1827 | -26.8339 | 47.676759999999994 |  0.0004800109974514482 |   0.01 |  0.0005923178370378118 |   38 |        1.0 | Target[name=MS181101ab, ra[deg]=199.1827, dec[deg]=-26.8339 | <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (199.1827, -26.8339)> | 4f2efc83a7a64beda648c98a047d2f39 |                         | 2023-04-26 14:14:35.128359 |                         |   25.4 |      97 |
| MS181101ab | 12:57:01 | -17:23:25 |    V,R | 120,120 |   5,5 |     1,1 |  0.0005552793894425762 |  1332009 |     False |  1332009 |  194.256 | -17.3905 |          26.786977 |   0.004522228488571959 |  0.001 |  0.0005552793894425762 |   39 |        1.0 |  Target[name=MS181101ab, ra[deg]=194.256, dec[deg]=-17.3905 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.256, -17.3905)> | ec8fea5242104b4496f3fb3f3fde5503 | 2023-04-26T12:33:48.246 | 2023-04-26 13:59:30.633969 | 2023-04-26T15:48:58.090 |   34.9 |      89 |
| MS181101ab | 12:57:01 | -17:23:25 |    V,R | 120,120 |   5,5 |     1,1 |  0.0005552793894425762 |  1688248 |     False |  1688248 |  194.256 | -17.3905 |          26.786977 |   0.004522228488571959 |  0.001 |  0.0005552793894425762 |   40 |        1.0 |  Target[name=MS181101ab, ra[deg]=194.256, dec[deg]=-17.3905 |  <FixedTarget "MS181101ab" at SkyCoord (ICRS): (ra, dec) in deg (194.256, -17.3905)> | 1a49b2462a174f24a8c1f9ee887fe8f6 | 2023-04-26T12:33:48.246 | 2023-04-26 13:59:30.633969 | 2023-04-26T15:48:58.090 |   34.9 |      89 |
