name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1036328,4.643,30.036,110.775,1.1536387687608688e-05,2.799999952316284,0.100,91,0.5,MS230501o,1036328,0.100
1024919,27.713,36.276,90.497,5.558131833228099e-06,5.800000190734863,0.099,92,0.5,MS230501o,1024919,0.099
1031062,348.650,15.950,119.191,6.419567388564878e-06,5.0,0.099,93,0.5,MS230501o,1031062,0.099
1030366,8.459,30.723,80.015,1.5081711699451471e-05,2.0999999046325684,0.098,94,0.5,MS230501o,1030366,0.098
1024994,28.285,36.820,92.986,6.322574929114269e-06,5.0,0.097,95,0.5,MS230501o,1024994,0.097
19540,351.523,17.685,147.086,7.899206677078868e-06,4.0,0.097,96,0.5,MS230501o,19540,0.097
86590,16.823,32.482,89.019,3.916285758542734e-06,8.0,0.097,97,0.5,MS230501o,86590,0.097
1028145,357.652,24.556,160.019,3.116223464756965e-06,10.0,0.096,98,0.5,MS230501o,1028145,0.096
1025187,17.098,33.134,78.152,5.248115508103385e-06,5.900000095367432,0.095,99,0.5,MS230501o,1025187,0.095
1024874,21.591,34.703,91.432,6.139576458790915e-06,5.0,0.095,100,0.5,MS230501o,1024874,0.095
1024726,32.540,39.190,92.858,2.718181475497935e-06,11.0,0.092,101,0.5,MS230501o,1024726,0.092
1025442,1.816,27.708,73.054,7.4276743469464365e-06,4.0,0.092,102,0.5,MS230501o,1025442,0.092
3904,347.603,12.836,95.749,1.6406595217980974e-05,1.7999999523162842,0.091,103,0.5,MS230501o,3904,0.091
1027485,2.637,28.996,114.028,7.335419642124332e-06,4.0,0.090,104,0.5,MS230501o,1027485,0.090
82780,4.261,29.942,110.905,9.676683463932354e-06,3.0,0.089,105,0.5,MS230501o,82780,0.089
8296,350.030,16.290,90.634,1.4481834783166816e-05,2.0,0.089,106,0.5,MS230501o,8296,0.089
1033806,7.835,30.792,106.098,2.060204528905393e-05,1.399999976158142,0.089,107,0.5,MS230501o,1033806,0.089
10548,3.556,28.878,117.448,1.4381720618885268e-05,2.0,0.089,108,0.5,MS230501o,10548,0.089
1025573,30.866,38.117,96.792,3.5761702934028818e-06,8.0,0.088,109,0.5,MS230501o,1025573,0.088
1025767,347.624,11.012,162.847,1.6814341250553385e-06,17.0,0.088,110,0.5,MS230501o,1025767,0.088
3952,9.712,31.544,118.531,1.7784327891102312e-05,1.600000023841858,0.088,111,0.5,MS230501o,3952,0.088
86784,38.854,40.870,96.649,2.1781294254532586e-06,13.0,0.087,112,0.5,MS230501o,86784,0.087
11694,350.654,16.488,142.025,9.390221705113872e-06,3.0,0.087,113,0.5,MS230501o,11694,0.087
3585,355.539,21.128,115.474,2.553917511331074e-05,1.100000023841858,0.087,114,0.5,MS230501o,3585,0.087
1040461,2.443,28.475,132.662,7.733045404912686e-06,3.5999999046325684,0.086,115,0.5,MS230501o,1040461,0.086
1025683,28.165,36.171,95.888,5.5023534787701936e-06,5.0,0.085,116,0.5,MS230501o,1025683,0.085
50632,357.121,21.576,134.091,1.3755366359486498e-05,2.0,0.085,117,0.5,MS230501o,50632,0.085
1068267,0.131,26.326,121.238,1.5111237830385028e-05,1.7999999523162842,0.084,118,0.5,MS230501o,1068267,0.084
1027045,342.242,7.219,117.160,6.755672778978963e-06,4.0,0.083,119,0.5,MS230501o,1027045,0.083
1032108,1.821,27.678,120.516,1.3488707682800763e-05,2.0,0.083,120,0.5,MS230501o,1032108,0.083
2045,345.616,8.246,104.446,1.406871680790448e-05,1.899999976158142,0.082,121,0.5,MS230501o,2045,0.082
86634,20.798,33.460,85.663,2.2149772676227185e-06,12.0,0.082,122,0.5,MS230501o,86634,0.082
60885,358.808,22.644,125.382,1.325281046766261e-05,2.0,0.082,123,0.5,MS230501o,60885,0.082
1025088,348.983,13.196,69.508,8.833191024716871e-06,3.0,0.082,124,0.5,MS230501o,1025088,0.082
1024906,17.309,32.752,88.928,4.23910128406847e-06,6.099999904632568,0.080,125,0.5,MS230501o,1024906,0.080
6665,0.132,26.305,130.187,1.278384663720025e-05,2.0,0.079,126,0.5,MS230501o,6665,0.079
1024605,28.194,36.152,82.552,4.518510383104577e-06,5.599999904632568,0.078,127,0.5,MS230501o,1024605,0.078
1024578,16.854,32.413,89.010,2.810865404214663e-06,9.0,0.078,128,0.5,MS230501o,1024578,0.078
538,30.938,38.259,96.716,3.5761702934028818e-06,7.0,0.077,129,0.5,MS230501o,538,0.077
1026602,28.346,36.955,91.779,6.245981532611035e-06,4.0,0.077,130,0.5,MS230501o,1026602,0.077
1038525,0.682,27.429,119.739,8.01405269186639e-06,3.0999999046325684,0.077,131,0.5,MS230501o,1038525,0.077
1032313,4.204,29.619,112.824,1.241595194647373e-05,2.0,0.077,132,0.5,MS230501o,1032313,0.077
1032545,10.172,30.162,88.900,8.728070759719387e-06,2.799999952316284,0.075,133,0.5,MS230501o,1032545,0.075
1037483,5.358,29.629,145.958,8.135686357030377e-06,3.0,0.075,134,0.5,MS230501o,1037483,0.075
1028483,28.724,36.918,96.467,6.092859045025119e-06,4.0,0.075,135,0.5,MS230501o,1028483,0.075
1030631,343.540,8.532,129.437,6.044456553006175e-06,4.0,0.075,136,0.5,MS230501o,1030631,0.075
1030785,11.033,30.351,93.388,7.086871814777331e-06,3.4000000953674316,0.074,137,0.5,MS230501o,1030785,0.074
1036175,349.161,15.898,118.299,1.1965143159529697e-05,2.0,0.074,138,0.5,MS230501o,1036175,0.074
1032895,344.267,4.677,116.029,7.913118400347437e-06,3.0,0.073,139,0.5,MS230501o,1032895,0.073
1027070,10.700,29.922,85.863,5.003587528508611e-06,4.699999809265137,0.072,140,0.5,MS230501o,1027070,0.072
1029792,6.703,31.703,103.108,7.817727480715806e-06,3.0,0.072,141,0.5,MS230501o,1029792,0.072
1038683,8.051,31.416,100.878,1.6729532922847994e-05,1.399999976158142,0.072,142,0.5,MS230501o,1038683,0.072
10098,354.394,19.536,163.719,3.8903644251632775e-06,6.0,0.072,143,0.5,MS230501o,10098,0.072
1040926,4.585,30.040,110.165,8.540073726615372e-06,2.700000047683716,0.071,144,0.5,MS230501o,1040926,0.071
1032793,2.508,28.210,128.864,1.1509894231447406e-05,2.0,0.071,145,0.5,MS230501o,1032793,0.071
1026051,16.774,32.795,87.389,5.573648614750812e-06,4.099999904632568,0.070,146,0.5,MS230501o,1026051,0.070
1027053,349.186,13.483,75.161,1.1395035064046852e-05,2.0,0.070,147,0.5,MS230501o,1027053,0.070
4610,348.180,10.730,112.674,1.1380645225044207e-05,2.0,0.070,148,0.5,MS230501o,4610,0.070
1027962,1.141,28.302,139.571,2.8446042521416083e-06,8.0,0.070,149,0.5,MS230501o,1027962,0.070
