|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep |                               id | fraction_obs | scheduled |
|  1576578 | 244.52400 | -17.55000 | 686.554 | 1.7698064801096347e-07 |   14.0 |  0.13671589786220317 |   30 |        0.5 | S240910ci |  1576578 |  0.13671589786220317 |      r |     6 |     180 |       1 | 16:18:05 | -17:33:00 |  58.36 | 2024-09-12T21:30:49.960 |   30.95 | a9337117a1e04e55a7deaccb9722decf |         0.23 |     False |
|  2547996 | 239.34600 | -12.17300 | 700.905 | 1.9029063495762243e-07 |   13.0 |    0.136497896804607 |   31 |        0.5 | S240910ci |  2547996 |    0.136497896804607 |      r |     6 |     180 |       1 | 15:57:23 | -12:10:22 |  51.25 | 2024-09-12T21:10:07.240 |   37.93 | 2682517aa813490d823873511b615112 |         0.20 |     False |
|  1522864 | 242.09800 | -15.51500 |  565.31 | 1.8699404717625697e-07 |   13.0 |  0.13413317744892683 |   32 |        0.5 | S240910ci |  1522864 |  0.13413317744892683 |      r |     6 |     180 |       1 | 16:08:23 | -15:30:54 |  55.31 | 2024-09-12T21:21:07.720 |   33.95 | 71ccb84ccec34f90884e0ae69191ee21 |         0.20 |     False |
|  1556234 | 237.87400 |  -9.14800 | 694.163 | 1.0970605205074435e-07 |   22.0 |   0.1331736488812184 |   33 |        0.5 | S240910ci |  1556234 |   0.1331736488812184 |      r |     6 |     180 |       1 | 15:51:29 | -09:08:52 |  48.32 | 2024-09-12T21:04:13.960 |   40.78 | 07c0fdd190a84e7fb74d530e147120fd |         0.17 |     False |
|  1133094 | 231.88900 |   0.01800 |  604.38 | 1.1449979499052625e-07 |   21.0 |  0.13267497395513392 |   34 |        0.5 | S240910ci |  1133094 |  0.13267497395513392 |      r |     6 |     180 |       1 | 15:27:33 |  00:01:04 |  37.96 | 2024-09-12T20:40:17.560 |    51.0 | 9a9828cccc7640eb87b29e921c4c9ae5 |         0.10 |     False |
|  1523402 | 242.46400 | -16.89000 | 703.693 | 1.1899088657405861e-07 |   20.0 |    0.131313275566199 |   35 |        0.5 | S240910ci |  1523402 |    0.131313275566199 |      r |     6 |     180 |       1 | 16:09:51 | -16:53:24 |  56.32 | 2024-09-12T21:22:35.560 |    33.0 | 4ef1cc55cb3e48d3aeb65501e123bafa |         0.23 |     False |
|  1572899 | 247.65100 | -21.04100 | 693.062 | 2.1961813712050618e-07 |   10.0 |  0.12118045655287218 |   36 |        0.5 | S240910ci |  1572899 |  0.12118045655287218 |      r |     6 |     180 |       1 | 16:30:36 | -21:02:27 |  62.61 | 2024-09-12T21:43:20.440 |   26.82 | 23b0b6a4b67d4b0abc8af6dc7a185f88 |         0.27 |      True |
|  1553189 | 236.20300 |  -7.84600 | 756.589 |  9.108171722892213e-08 |   24.0 |   0.1206165213484453 |   37 |        0.5 | S240910ci |  1553189 |   0.1206165213484453 |      r |     6 |     180 |       1 | 15:44:48 | -07:50:45 |  46.22 | 2024-09-12T20:57:32.920 |   42.88 | ecbbcb9f3af3461cb6e09cdf9e2ea48d |         0.13 |     False |
|  1653843 | 243.02800 | -15.43100 | 590.388 | 1.0841264263573162e-07 |   20.0 |  0.11963939669550859 |   38 |        0.5 | S240910ci |  1653843 |  0.11963939669550859 |      r |     6 |     180 |       1 | 16:12:06 | -15:25:51 |  56.03 | 2024-09-12T21:24:50.920 |   33.21 | 0ee4d321a7ca4f12927970fc19091a2e |         0.23 |     False |
|  1653932 | 240.44900 | -13.35600 | 551.109 |  1.342399211570395e-07 |   16.0 |  0.11851297203638751 |   39 |        0.5 | S240910ci |  1653932 |  0.11851297203638751 |      r |     6 |     180 |       1 | 16:01:47 | -13:21:21 |  52.81 | 2024-09-12T21:14:31.960 |    36.4 | de4b8d051e8d4609b5b12358bef310a3 |         0.20 |     False |
|  1537017 | 251.03900 | -23.29100 | 770.078 | 1.7361270732114455e-07 |   12.0 |  0.11495470337002885 |   40 |        0.5 | S240910ci |  1537017 |  0.11495470337002885 |      r |     6 |     180 |       1 | 16:44:09 | -23:17:27 |   66.4 | 2024-09-12T21:56:53.560 |   23.09 | 93fec871a23b4d48acb9b111d68fd219 |         0.30 |     False |
|  1576532 | 243.58600 | -17.50200 | 571.891 | 1.5999502479878225e-07 |   13.0 |  0.11476614855882679 |   41 |        0.5 | S240910ci |  1576532 |  0.11476614855882679 |      r |     6 |     180 |       1 | 16:14:20 | -17:30:07 |  57.56 | 2024-09-12T21:27:04.840 |   31.77 | 043fc0338ef34d6295c64e0f5c55baa8 |         0.23 |     False |
