|   obsdate |    mag | e_mag | magsys |  filter | depth_5sig | zp |    observatory | detected | A_filter |
| 59531.635 | 14.977 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59531.636 | 14.937 |  0.03 |     AB |       r |            |    | LasCumbres0.4m |     True |   -0.173 |
| 59531.637 | 15.401 |  0.05 |     AB |       i |            |    | LasCumbres0.4m |     True |   -0.124 |
| 59531.637 | 15.132 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59531.639 | 15.441 |  0.05 |     AB |       i |            |    | LasCumbres0.4m |     True |   -0.124 |
|  59531.64 | 15.132 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59531.643 | 14.977 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59531.645 | 14.967 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59531.647 | 15.531 |  0.02 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59531.648 | 15.541 |  0.02 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59531.649 | 15.516 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59531.653 | 15.476 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59531.657 | 15.492 |  0.02 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
|  59531.66 | 15.452 |  0.02 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59531.663 | 14.957 |  0.02 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59531.664 | 14.957 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59531.666 | 15.112 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59531.669 | 15.102 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59531.672 | 14.947 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59531.673 | 14.947 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59531.675 | 15.491 |  0.02 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59531.677 |  15.29 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59531.677 | 15.511 |  0.02 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
| 59531.788 |  15.17 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59532.012 |  15.05 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59532.063 |  15.05 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59532.083 |  17.68 |  0.09 |     AB |    UVW1 |            |    |          Swift |     True |    -99.9 |
| 59532.084 |  16.09 |  0.05 |   Vega |     U_S |            |    |          Swift |     True |    -99.9 |
| 59532.085 |  15.24 |  0.04 |   Vega |     B_S |            |    |          Swift |     True |    -99.9 |
| 59532.086 |  18.95 |  0.15 |     AB |    UVW2 |            |    |          Swift |     True |    -99.9 |
|  59532.09 |  14.67 |  0.04 |   Vega |     V_S |            |    |          Swift |     True |    -99.9 |
| 59532.091 |  20.42 | 100.0 |     AB |    UVM2 |            |    |          Swift |     True |    -99.9 |
| 59532.107 |  15.04 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59532.126 |   14.9 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59532.171 |  14.96 |  0.01 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59532.251 |  14.86 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59532.329 |  14.82 |   0.0 |     AB | Unfilte |            |    |          DLT40 |     True |    -99.9 |
| 59532.483 | 14.976 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59532.487 | 14.986 |  0.02 |   Vega |       U |            |    |   LasCumbres1m |     True |   -0.387 |
| 59532.491 | 14.882 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59532.493 | 14.872 |  0.01 |   Vega |       B |            |    |   LasCumbres1m |     True |   -0.325 |
| 59532.496 | 14.507 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
| 59532.498 | 14.507 |  0.01 |   Vega |       V |            |    |   LasCumbres1m |     True |   -0.219 |
|   59532.5 | 14.542 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59532.502 | 14.532 |  0.01 |     AB |       g |            |    |   LasCumbres1m |     True |   -0.288 |
| 59532.505 | 14.507 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59532.507 | 14.507 |  0.01 |     AB |       r |            |    |   LasCumbres1m |     True |   -0.173 |
| 59532.509 | 15.051 |  0.01 |     AB |       i |            |    |   LasCumbres1m |     True |   -0.124 |
