ObjectId,RAICRS,DEICRS,Niflags,flags,Ngood,Ngoodu,Ngoodv,Ngoodg,Ngoodr,Ngoodi,Ngoodz,ClassStar,uPSF,e_uPSF,vPSF,e_vPSF,gPSF,e_gPSF,rPSF,e_rPSF,iPSF,e_iPSF,zPSF,e_zPSF
10821633,42.520689,-31.220242,26,0,67,3,4,18,23,10,9,0.990,18.4724,0.0310,18.3266,0.0281,16.0489,0.0041,15.4190,0.0034,14.9850,0.0065,14.8063,0.0079
10821657,42.514995,-31.194632,2,0,39,0,0,14,18,5,2,0.972,,,,,19.4067,0.0114,19.1477,0.0102,19.0159,0.0212,18.9648,0.0347
10821650,42.466973,-31.204554,17,0,63,0,0,16,25,12,10,0.984,,,,,17.9237,0.0051,17.0486,0.0038,16.2525,0.0066,15.9382,0.0076
10821652,42.488635,-31.176556,16,0,61,4,4,15,19,11,8,0.496,18.0793,0.2464,17.1111,0.2842,16.7298,0.0926,16.4391,0.0914,16.4464,0.1197,16.1022,0.1698
10821654,42.492709,-31.206243,5,0,56,0,0,14,19,12,11,0.984,,,,,18.9747,0.0106,18.0171,0.0044,16.9795,0.0102,16.5726,0.0079
10821655,42.502212,-31.206189,1,0,62,4,4,16,21,9,8,0.983,19.1706,0.0669,18.6636,0.0284,17.9159,0.0047,17.7037,0.0043,17.5852,0.0136,17.5537,0.0300
10821659,42.499701,-31.190782,36,0,67,6,8,16,16,11,10,0.998,14.6942,0.0140,14.3523,0.0114,13.0636,0.0041,12.7479,0.0042,12.5893,0.0059,12.5546,0.0065
10821497,42.396579,-31.238045,0,0,44,0,0,13,18,6,7,0.980,,,,,19.2015,0.0118,18.5909,0.0075,18.1621,0.0141,18.0016,0.0266
10821508,42.404712,-31.227285,3,0,38,0,0,13,18,4,3,0.980,,,,,19.2504,0.0090,18.7975,0.0095,18.5231,0.0131,18.3289,0.0193
10821509,42.403447,-31.220332,3,3,41,0,0,13,18,5,5,0.605,,,,,18.8798,0.0492,18.3168,0.0528,17.9850,0.1230,17.8622,0.1029
10821510,42.427677,-31.221377,0,0,52,4,4,14,19,6,5,0.982,18.5938,0.0468,18.7995,0.0634,18.8460,0.0096,18.8648,0.0123,18.5495,0.0307,18.4486,0.0282
10821513,42.421854,-31.210870,13,0,78,6,7,19,24,12,10,0.992,17.5206,0.0161,17.2260,0.0131,16.0872,0.0039,15.7756,0.0033,15.5736,0.0060,15.5214,0.0076
10821514,42.423944,-31.203804,16,0,75,5,5,20,25,11,9,0.550,17.5912,0.0653,17.0808,0.1064,16.4049,0.0377,16.0965,0.0424,16.0139,0.0704,15.9057,0.0807
10821515,42.428363,-31.197207,3,0,54,4,5,15,19,6,5,0.642,18.7942,0.1260,18.2242,0.1155,17.7191,0.0485,17.5137,0.0543,17.4600,0.1412,17.2329,0.1778
10821644,42.445745,-31.209953,0,0,40,0,0,12,18,5,5,0.976,,,,,19.8238,0.0122,19.0767,0.0096,18.4316,0.0134,18.1689,0.0216
10821646,42.432568,-31.199852,0,0,36,0,0,13,17,4,2,0.974,,,,,19.6305,0.0127,19.2631,0.0080,18.9585,0.0333,18.7705,0.0512
10821511,42.402126,-31.217137,10,2,82,7,8,20,25,12,10,0.993,17.2078,0.0296,16.8789,0.0129,15.8124,0.0035,15.4995,0.0032,15.3007,0.0057,15.2408,0.0070
10821774,42.387696,-31.199076,21,3,59,1,4,14,19,12,9,0.534,18.9306,0.2082,18.4366,0.1266,16.4579,0.0949,15.6423,0.0754,15.3091,0.0903,15.0966,0.1110
10821512,42.413886,-31.204750,9,0,53,4,5,12,11,11,10,0.623,18.3816,0.1505,17.9443,0.1399,16.1315,0.0702,15.6193,0.0851,15.1734,0.0865,14.9591,0.0948
10821775,42.391136,-31.189407,9,3,47,3,4,12,10,9,9,0.065,16.6089,0.2779,16.0140,0.2704,14.2517,0.0878,13.4599,0.1243,12.9859,0.1267,12.7235,0.1235
10821776,42.413231,-31.199384,0,3,4,0,0,1,2,1,0,0.147,,,,,19.6972,0.4344,19.2481,0.2739,18.9321,0.3350,,
10821777,42.413713,-31.197997,1,3,32,0,1,10,10,6,5,0.977,,,19.5820,0.2073,18.6164,0.0175,18.3164,0.0136,18.0814,0.0183,18.0031,0.0274
10821647,42.437980,-31.192982,2,0,53,0,0,13,18,12,10,0.994,,,,,19.8071,0.0112,18.8392,0.0078,17.0414,0.0094,16.3316,0.0112
10821651,42.480203,-31.181015,7,0,65,4,4,17,22,10,8,0.983,18.9257,0.0430,18.5170,0.0303,17.7924,0.0053,17.5754,0.0045,17.4409,0.0184,17.4265,0.0240
10821906,42.432977,-31.158184,11,0,65,4,4,17,20,11,9,0.369,18.0033,0.1864,17.1096,0.2481,15.4972,0.0677,14.7883,0.0778,14.4066,0.1093,14.1519,0.1264
10821908,42.451149,-31.136255,15,0,63,4,4,16,21,10,8,0.305,17.8394,0.1935,17.3483,0.2113,15.5893,0.0632,14.9246,0.0654,14.5388,0.0965,14.2869,0.1074
10821662,42.548137,-31.175807,4,0,43,0,0,14,19,6,4,0.947,,,,,19.0743,0.0144,18.8079,0.0151,18.5234,0.0421,18.4044,0.0649
10821686,42.559173,-31.177232,10,0,55,0,0,14,22,9,10,0.987,,,,,18.0223,0.0068,17.4133,0.0048,16.9743,0.0107,16.8008,0.0106
10821660,42.504734,-31.170987,23,0,77,6,8,18,23,12,10,0.999,15.6148,0.0143,15.2851,0.0112,13.8995,0.0036,13.5536,0.0033,13.3573,0.0053,13.3099,0.0065
10821661,42.514947,-31.162602,0,0,48,0,0,12,19,8,9,0.981,,,,,19.8508,0.0265,18.9235,0.0085,17.6570,0.0106,17.1718,0.0200
1014861637,42.524106,-31.164303,10,0,45,0,0,13,18,7,7,0.983,,,,,18.6236,0.0064,17.9011,0.0057,17.4033,0.0111,17.1956,0.0176
10821664,42.547576,-31.155461,4,0,41,0,0,14,18,5,4,0.520,,,,,18.7613,0.0542,18.3798,0.0578,18.0355,0.1253,17.8938,0.1306
10821947,42.583302,-31.127575,19,0,56,0,1,15,22,10,8,0.803,,,19.0941,0.4357,17.6310,0.0455,17.0015,0.0399,16.5600,0.0551,16.3440,0.0560
10821695,42.611078,-31.135739,0,0,43,0,0,13,17,7,6,0.984,,,,,19.4417,0.0102,18.5493,0.0066,17.5741,0.0106,17.1608,0.0149
10821942,42.557335,-31.138973,13,0,47,0,0,14,19,8,6,0.798,,,,,18.4972,0.0378,18.0129,0.0334,17.5633,0.0718,17.3532,0.0699
10821943,42.569362,-31.123111,3,1,45,0,0,10,19,8,8,0.982,,,,,19.8107,0.0095,18.8954,0.0091,17.2875,0.0118,16.6884,0.0102
10821944,42.573219,-31.122723,3,0,57,0,0,16,23,10,8,0.985,,,,,17.6032,0.0046,16.6571,0.0035,15.1578,0.0059,14.5667,0.0070
10821945,42.555703,-31.121986,7,0,43,0,0,13,19,6,5,0.930,,,,,18.9581,0.0132,18.5591,0.0122,18.2193,0.0332,18.0155,0.0302
10821952,42.591672,-31.101018,1,0,47,0,0,14,21,7,5,0.985,,,,,17.3865,0.0048,16.5374,0.0035,15.8400,0.0069,15.5668,0.0093
10821912,42.520297,-31.129941,4,0,41,0,1,12,16,6,6,0.661,,,19.4109,0.2739,17.5974,0.0679,17.1354,0.0660,16.7869,0.1154,16.6284,0.1076
10821909,42.484343,-31.133456,27,0,63,4,5,17,21,9,7,0.578,18.4322,0.1268,17.9463,0.1217,15.9446,0.0531,15.3496,0.0557,15.0042,0.0797,14.7562,0.0919
10821910,42.467548,-31.124919,6,0,40,0,0,13,18,5,4,0.980,,,,,19.5397,0.0131,18.7590,0.0060,18.1567,0.0212,17.9221,0.0201
10821924,42.462787,-31.114959,3,0,48,0,0,14,19,9,6,0.990,,,,,18.3160,0.0060,17.4363,0.0041,16.6563,0.0091,16.3743,0.0109
10821933,42.492270,-31.102832,13,0,57,2,3,16,20,9,7,0.985,19.3948,0.1931,19.0168,0.0827,16.3687,0.0041,15.5682,0.0035,14.9823,0.0058,14.7607,0.0075
10821913,42.543200,-31.121897,3,0,48,2,3,12,20,6,5,0.983,18.6402,0.1100,18.3861,0.0270,17.3289,0.0046,17.0339,0.0038,16.8542,0.0157,16.7976,0.0107
10821936,42.532594,-31.087226,6,0,50,3,3,14,17,7,6,0.984,17.5573,0.0210,17.2423,0.0224,16.4549,0.0041,16.2169,0.0038,16.0820,0.0073,16.0426,0.0100
10821937,42.525484,-31.081589,24,0,51,3,3,14,18,7,6,0.990,15.9171,0.0175,15.5599,0.0151,14.5941,0.0038,14.3241,0.0035,14.1644,0.0068,14.1308,0.0086
10821939,42.536585,-31.066657,0,0,29,0,0,10,14,4,1,0.955,,,,,19.5087,0.0145,19.2484,0.0087,18.9949,0.0232,18.9520,0.0631
10822089,42.727812,-31.215436,3,0,38,0,0,11,17,6,4,0.963,,,,,19.9615,0.0236,19.2029,0.0104,18.6469,0.0147,18.3314,0.0167
10822091,42.725148,-31.202428,9,0,50,0,0,12,17,11,10,0.982,,,,,19.4842,0.0123,18.5692,0.0068,17.0209,0.0100,16.4310,0.0096
10822092,42.719099,-31.204227,22,0,80,7,7,19,25,12,10,0.998,16.4701,0.0224,16.0886,0.0120,14.6197,0.0034,14.2003,0.0031,13.9162,0.0054,13.8061,0.0065
10822139,42.706360,-31.186171,0,0,49,0,0,15,19,8,7,0.982,,,,,18.6016,0.0064,18.0659,0.0045,17.7100,0.0104,17.5216,0.0126
10822149,42.733005,-31.158629,2,0,27,0,0,12,14,1,0,0.935,,,,,19.8874,0.0176,19.7345,0.0189,19.5829,0.0977,,
10822137,42.698025,-31.180518,3,0,49,0,0,13,18,9,9,0.982,,,,,19.5136,0.0121,18.5692,0.0064,17.3152,0.0091,16.8692,0.0107
10822151,42.734344,-31.149820,0,0,37,0,0,13,18,5,1,0.979,,,,,19.1983,0.0089,18.9823,0.0073,18.8505,0.0166,18.7910,0.0703
10822153,42.736086,-31.134083,0,0,25,0,0,12,12,1,0,0.946,,,,,19.8715,0.0154,19.9422,0.0272,19.8303,0.0759,,
10821700,42.660872,-31.156357,25,0,70,5,5,19,23,10,8,0.988,15.9659,0.0143,15.6303,0.0149,14.6721,0.0034,14.4150,0.0032,14.2691,0.0057,14.2503,0.0074
