RA_ICRS,DE_ICRS,Bmag,BFlag,Vmag,VFlag,Rmag,RFlag,gmag,gFlag,rmag,rFlag,imag,iFlag,e_Bmag,e_Vmag,e_Rmag,e_gmag,e_rmag,e_imag
41.08173577110,-31.16516793928,16.204367,1,15.555253,1,15.182726,1,15.807081,1,15.365094,1,15.222361,1,0.02,0.02,0.02,0.02,0.02,0.02
41.12325500180,-31.19317391047,18.462957,1,17.415924,1,16.775057,1,17.921907,1,17.000034,1,16.686443,1,0.02,0.02,0.02,0.02,0.02,0.02
41.16887296157,-31.17622298080,18.405470,1,17.619550,1,17.167105,1,17.954655,1,17.358814,1,17.165724,1,0.02,0.02,0.02,0.02,0.02,0.02
41.11338278363,-31.18512282795,19.206976,0,17.867655,1,17.003416,1,18.601828,1,17.306288,1,16.713829,1,0.02,0.02,0.02,0.02,0.02,0.02
41.14720844442,-31.14275564366,17.721352,1,17.260786,1,16.941015,1,17.417261,1,17.112906,1,17.012848,1,0.02,0.02,0.02,0.02,0.02,0.02
41.13206918724,-31.13042740329,14.133729,1,13.452616,1,13.067801,1,13.721373,0,13.250533,0,13.108159,0,0.02,0.02,0.02,0.02,0.02,0.02
41.19397553172,-31.11294657712,19.333870,0,17.803223,1,16.747417,1,18.623130,1,17.177708,1,16.142975,1,0.02,0.02,0.02,0.02,0.02,0.02
41.15691779057,-31.12667573860,19.493969,1,18.163528,1,17.343237,1,18.860338,1,17.628222,1,17.084858,1,0.02,0.02,0.02,0.02,0.02,0.02
41.14133042328,-31.13242625135,16.991034,1,16.432901,1,16.090374,1,16.636630,1,16.270850,1,16.138134,1,0.02,0.02,0.02,0.02,0.02,0.02
41.17214388609,-31.11701799137,18.692036,0,17.250042,1,16.222805,1,18.009632,1,16.665339,1,15.612387,1,0.02,0.02,0.02,0.02,0.02,0.02
41.15691663609,-31.08875979431,15.664310,1,15.320478,1,15.087014,1,15.401681,1,15.242701,1,15.205254,1,0.02,0.02,0.02,0.02,0.02,0.02
41.11305779215,-31.08672097483,17.612017,1,16.927973,1,16.499731,1,17.210398,1,16.694048,1,16.499685,1,0.02,0.02,0.02,0.02,0.02,0.02
41.13909061508,-31.05411442388,17.119540,1,16.182983,1,15.603634,1,16.618107,1,15.822365,1,15.538281,1,0.02,0.02,0.02,0.02,0.02,0.02
41.48894035561,-31.27448539351,15.969109,1,15.460809,1,15.129197,1,15.638903,1,15.304978,1,15.184941,1,0.02,0.02,0.02,0.02,0.02,0.02
41.46313441763,-31.26475648359,16.224728,1,15.473494,1,15.025023,1,15.786685,1,15.225474,1,15.008480,1,0.02,0.02,0.02,0.02,0.02,0.02
41.47210943150,-31.26408793465,12.206377,1,11.633776,1,11.293347,1,11.844111,0,11.469339,0,11.352324,0,0.02,0.02,0.02,0.02,0.02,0.02
41.48246072680,-31.22827790692,16.653181,1,16.021248,1,15.649673,1,16.265257,1,15.832040,1,15.688117,1,0.02,0.02,0.02,0.02,0.02,0.02
41.60800165917,-31.19321385392,15.732019,1,15.062470,1,14.670045,1,15.326278,1,14.857192,1,14.695025,1,0.02,0.02,0.02,0.02,0.02,0.02
41.58109132208,-31.19962313779,14.115540,1,13.470997,1,13.086064,1,13.723530,0,13.270490,0,13.121188,0,0.02,0.02,0.02,0.02,0.02,0.02
41.56580642607,-31.18842549170,19.479580,0,18.038166,1,17.039572,1,18.809248,1,17.431830,1,16.518454,1,0.02,0.02,0.02,0.02,0.02,0.02
41.59644631735,-31.16970143771,15.852807,1,15.235871,1,14.869322,1,15.472882,1,15.054450,1,14.899114,1,0.02,0.02,0.02,0.02,0.02,0.02
41.60066485571,-31.15685155411,18.268044,1,17.482828,1,17.001915,1,17.818312,1,17.208830,1,16.975649,1,0.02,0.02,0.02,0.02,0.02,0.02
41.53912435310,-31.16007034113,15.643916,1,14.748392,1,14.202003,1,15.155240,1,14.416242,1,14.150701,1,0.02,0.02,0.02,0.02,0.02,0.02
41.57903734624,-31.15131181410,18.158003,1,17.045230,1,16.329155,1,17.613214,1,16.577444,1,16.179453,1,0.02,0.02,0.02,0.02,0.02,0.02
41.39661146113,-31.21982272407,19.126806,0,17.601751,1,16.522646,1,18.417560,1,16.975014,1,15.884389,1,0.02,0.02,0.02,0.02,0.02,0.02
41.45906871553,-31.22526752386,17.974577,1,17.171910,1,16.692080,1,17.520645,1,16.898857,1,16.652218,1,0.02,0.02,0.02,0.02,0.02,0.02
41.44440020388,-31.21129453360,16.308151,1,15.764418,1,15.419175,1,15.964121,1,15.598317,1,15.466699,1,0.02,0.02,0.02,0.02,0.02,0.02
41.35909666241,-31.24109013655,15.808454,1,15.112864,1,14.683304,1,15.403434,1,14.880711,1,14.677022,1,0.02,0.02,0.02,0.02,0.02,0.02
41.37188144576,-31.19581708563,18.575966,1,17.454924,1,16.760334,1,18.015268,1,16.994486,1,16.643663,1,0.02,0.02,0.02,0.02,0.02,0.02
41.37607085859,-31.17744991495,,0,18.727583,1,17.588106,1,19.575808,1,18.083176,1,16.877396,1,0.02,0.02,0.02,0.02,0.02,0.02
41.49924157237,-31.18921312741,17.973904,1,17.441906,1,17.108477,1,17.634450,1,17.281435,1,17.166662,1,0.02,0.02,0.02,0.02,0.02,0.02
41.55022890478,-31.14057947339,19.771435,0,18.311443,1,17.375563,1,19.132930,1,17.690844,1,17.030474,1,0.02,0.02,0.02,0.02,0.02,0.02
41.44597756482,-31.15714162024,16.921848,1,15.847745,1,15.167065,1,16.380724,1,15.405416,1,15.050264,1,0.02,0.02,0.02,0.02,0.02,0.02
41.41900711239,-31.14858330309,16.468546,1,15.930434,1,15.590686,1,16.125134,1,15.770212,1,15.638798,1,0.02,0.02,0.02,0.02,0.02,0.02
41.42628049161,-31.12933122402,17.669850,1,17.063469,1,16.697147,1,17.297829,1,16.880562,1,16.733635,1,0.02,0.02,0.02,0.02,0.02,0.02
41.47408380410,-31.09713512769,17.757372,1,16.739420,1,16.115227,1,17.226147,1,16.344430,1,16.021215,1,0.02,0.02,0.02,0.02,0.02,0.02
41.48992272761,-31.09531599167,18.952066,0,17.562962,1,16.681830,1,18.308006,1,16.978670,1,16.387835,1,0.02,0.02,0.02,0.02,0.02,0.02
41.45418138050,-31.08092124208,18.549173,0,17.129784,1,16.144041,1,17.882130,1,16.533096,1,15.628715,1,0.02,0.02,0.02,0.02,0.02,0.02
41.46430109302,-31.06667943271,13.845194,1,13.366983,1,13.066725,1,13.524622,0,13.236281,0,13.143927,0,0.02,0.02,0.02,0.02,0.02,0.02
41.48374335971,-31.06154202661,14.884382,1,14.352016,1,14.016871,1,14.545558,0,14.194128,0,14.070884,0,0.02,0.02,0.02,0.02,0.02,0.02
41.68555024362,-31.17930987473,12.347093,1,11.508008,1,11.019421,1,11.870671,0,11.219378,0,11.009482,0,0.02,0.02,0.02,0.02,0.02,0.02
41.63469264588,-31.06783590991,17.377285,1,16.067865,1,15.235765,1,16.769114,1,15.510477,1,15.008328,1,0.02,0.02,0.02,0.02,0.02,0.02
41.76844744281,-31.09249842673,16.133820,1,15.421368,1,14.997763,1,15.713914,1,15.194731,1,14.992807,1,0.02,0.02,0.02,0.02,0.02,0.02
41.75496689661,-31.08680150061,,0,18.675459,0,17.528362,0,19.416430,1,18.087940,1,16.731722,1,0.02,0.02,0.02,0.02,0.02,0.02
41.72213589596,-31.09435221751,18.251629,1,17.442358,1,16.936722,1,17.799072,1,17.151026,1,16.866690,1,0.02,0.02,0.02,0.02,0.02,0.02
41.74742548576,-31.05869974345,16.307455,1,15.301106,1,14.721692,1,15.769766,1,14.934189,1,14.676109,1,0.02,0.02,0.02,0.02,0.02,0.02
41.78033594163,-31.06571303298,17.748129,1,16.993290,1,16.557209,1,17.302046,1,16.747889,1,16.572850,1,0.02,0.02,0.02,0.02,0.02,0.02
41.79768648295,-31.01470485135,17.866388,1,17.218798,1,16.828392,1,17.469597,1,17.015404,1,16.844404,1,0.02,0.02,0.02,0.02,0.02,0.02
41.68204956996,-31.02642437328,18.092953,1,16.869640,1,16.085108,1,17.508608,1,16.345959,1,15.903447,1,0.02,0.02,0.02,0.02,0.02,0.02
41.71121190511,-31.02414679275,19.452522,0,18.156769,1,17.284254,1,18.866940,1,17.584457,1,16.981976,1,0.02,0.02,0.02,0.02,0.02,0.02
41.76444762031,-31.00405230169,18.066368,1,17.538940,1,17.220846,1,17.729399,1,17.393826,1,17.287537,1,0.02,0.02,0.02,0.02,0.02,0.02
41.76640260056,-30.97109162963,13.996228,1,13.123067,1,12.646678,1,13.504020,0,12.856627,0,12.608027,0,0.02,0.02,0.02,0.02,0.02,0.02
41.54778622457,-31.09172461891,16.343847,1,15.408728,1,14.830611,1,15.841599,1,15.048034,1,14.770108,1,0.02,0.02,0.02,0.02,0.02,0.02
41.57869710620,-31.04922409658,,0,14.704775,1,13.637251,1,15.471983,0,13.993915,0,13.245527,0,0.02,0.02,0.02,0.02,0.02,0.02
