obj ra dec priority note dist ebv muvmag maxaxis minaxis
118 83.74 -13.68 81741.484 "[1151365, 1329140]" 100 0 -20 10 10
121 230.02 -12.62 81491.22 "[1151641, 1151813, 1261513, 1263113]" 100 0 -20 10 10
122 306.34 -18.98 81229.55 "[1150940, 1171004, 2589277, 2589290]" 100 0 -20 10 10
123 207.76 39.32 80761.12 "[731, 3722, 88926, 1024691, 1029179, 1042775, 1043629, 2446997, 2447004]" 100 0 -20 10 10
124 138.86 40.38 80750.484 "[85537, 1024705, 1024984, 1043974, 1043976]" 100 0 -20 10 10
125 182.32 69.0 80731.58 "[1996, 89634, 1024644]" 100 0 -20 10 10
126 189.74 -41.24 80696.89 "[1151335, 1153683, 1261672]" 100 0 -20 10 10
127 173.84 -38.06 80621.414 "[1151030, 1151036, 1264918]" 100 0 -20 10 10
128 225.78 2.22 80546.08 "[236, 84763, 84772, 84810, 88170, 88732, 88734, 88735, 89649, 1043254, 1068497, 2508445, 2508452, 2508465, 2513294]" 100 0 -20 10 10
129 224.72 1.16 80457.24 "[236, 84728, 88732, 89688, 1042892, 1068496, 2503383, 2503440, 2508353, 2508357]" 100 0 -20 10 10
130 46.64 -15.8 80201.5 "[1150926, 1171230, 2113574, 2113582, 2115719, 2115988, 22186192]" 100 0 -20 10 10
131 206.7 60.52 80026.914 "[303, 4440, 85922, 88034, 89271]" 100 0 -20 10 10
132 198.22 -16.86 79994.51 "[1150982, 1151371, 1151891, 1152293, 1152766, 1155495, 1168786, 1168787, 1168788, 1168789, 1170293, 2412676, 2412683]" 100 0 -20 10 10
133 15.9 -6.26 79979.43 "[1150978, 1152281, 1328702, 2056108]" 100 0 -20 10 10
134 217.3 -33.82 79934.03 "[1151006, 1263150]" 100 0 -20 10 10
135 224.72 -0.96 79790.86 "[1168636, 1261143, 2503076]" 100 0 -20 10 10
136 339.2 34.02 79749.07 "[194, 1306]" 100 0 -20 10 10
137 178.08 -39.12 79749.07 "[1151304, 1329767]" 100 0 -20 10 10
138 175.96 10.7 79532.84 "[1024809, 2336433]" 100 0 -20 10 10
139 318.0 -49.72 79512.47 "[1261239, 1325783, 1325786]" 100 0 -20 10 10
149 201.4 -33.82 79432.84 [1330058] 100 0 -20 10 10
148 63.6 -31.7 79432.84 [1150850] 100 0 -20 10 10
142 284.08 -55.02 79432.84 [1150927] 100 0 -20 10 10
150 27.56 5.4 79432.84 [86679] 100 0 -20 10 10
146 138.86 -16.86 79432.84 [1261149] 100 0 -20 10 10
147 259.7 61.58 79432.84 [1025099] 100 0 -20 10 10
141 138.86 -15.8 79432.84 [1261149] 100 0 -20 10 10
145 2.12 27.66 79432.84 [352] 100 0 -20 10 10
144 86.92 -17.92 79432.84 [1151101] 100 0 -20 10 10
143 193.98 -20.04 79432.84 [1151111] 100 0 -20 10 10
140 26.5 28.72 79432.84 [1024846] 100 0 -20 10 10
151 170.66 3.28 78460.88 "[2414, 87533, 87550, 88831, 89434, 89886, 1024462, 1025548, 1026773, 1032769, 2310816]" 100 0 -20 10 10
152 45.58 -15.8 77868.32 "[1151295, 1155556, 1157203, 1161954, 1169208, 1324416, 1325581, 1328879, 1328881, 2113574, 2113582, 22186192]" 100 0 -20 10 10
153 193.98 8.58 77073.19 "[1909, 84134, 1024722, 1028811]" 100 0 -20 10 10
154 355.1 -12.62 77023.37 "[1150933, 1153874, 1261140, 1324910]" 100 0 -20 10 10
155 153.7 3.28 76587.06 "[221, 224, 554, 87393, 89098, 2247732, 2247737]" 100 0 -20 10 10
156 192.92 -42.3 75419.07 "[1150903, 1152905, 1156509, 1168537, 1261489, 1262812, 1325852]" 100 0 -20 10 10
157 341.32 -23.22 71833.375 "[1151644, 1169127, 1330918]" 100 0 -20 10 10
158 202.46 46.74 71063.3 "[85653, 88002, 90606, 90955, 1024696, 1026100, 1041752, 1042724]" 100 0 -20 10 10
159 221.54 2.22 70979.5 "[209, 88148, 1024706]" 100 0 -20 10 10
160 181.26 -29.58 70094.34 "[1151460, 1159024, 1168498, 1169339, 1170097, 1261127, 1329809, 2355492]" 100 0 -20 10 10
161 159.0 -26.4 69543.38 "[1151346, 1156272, 1168444, 1170156, 1262598, 1326411, 1326413, 1329614, 2265055]" 100 0 -20 10 10
162 208.82 40.38 69336.96 "[249, 1470, 83598, 88051, 89277, 89278, 1027727, 2449207, 2449208, 2454611, 2454615]" 100 0 -20 10 10
163 307.4 -35.94 68836.945 "[1151003, 1166127, 1330698, 2589811]" 100 0 -20 10 10
164 75.26 -8.38 68056.99 "[1151190, 1324496, 1329085, 1332001, 2137890]" 100 0 -20 10 10
165 155.82 20.24 66391.17 "[3582, 85106, 87406, 1024483, 1024618, 2014903, 2257363]" 100 0 -20 10 10
166 178.08 -28.52 66218.95 "[1150796, 1167534, 1171496, 1261490, 1263683, 2015031, 2340063]" 100 0 -20 10 10
167 28.62 -13.68 65029.098 "[1150815, 1168809, 1261788, 1324357, 2081288]" 100 0 -20 10 10
168 346.62 -35.94 64971.656 "[1151139, 1168885, 1330947, 2645930]" 100 0 -20 10 10
169 226.84 2.22 64381.867 "[239, 84750, 84766, 84768, 84772, 84775, 1024664, 1027913, 1042898, 1042900, 2513172, 2513335, 2513337, 2513338, 22359287]" 100 0 -20 10 10
170 1.06 5.4 64354.688 "[3908, 1025182]" 100 0 -20 10 10
171 62.54 -56.08 63826.72 "[1261135, 2015301, 6265208]" 100 0 -20 10 10
172 210.94 55.22 63663.176 "[1024550, 1043099, 2460224]" 100 0 -20 10 10
