recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
7277199,118.996471,59.407671,0.334,0.465,20152436,8,46,0.417,0.186,14.553,0.057,14.970,0.177,14.623,0.157,14.412,0.050,14.303,0.053
7277201,119.032864,59.424754,0.533,0.364,20152436,8,45,0.600,0.147,14.849,0.076,15.450,0.125,15.001,0.169,14.642,0.039,14.478,0.065
7277202,118.894716,59.361089,0.544,0.659,20152436,7,32,0.629,0.240,15.198,0.047,15.827,0.235,15.403,0.193,14.911,0.052,14.670,0.084
7277203,118.857941,59.425147,0.176,0.202,20152436,7,30,0.672,0.164,13.222,0.066,13.894,0.151,13.421,0.205,12.989,0.049,12.793,0.082
7277205,118.954641,59.450001,0.281,0.388,20152436,8,47,0.568,0.191,14.269,0.066,14.837,0.179,14.437,0.165,14.049,0.053,13.872,0.088
7277206,118.883186,59.435811,0.402,0.533,20152436,6,26,0.565,0.205,15.334,0.065,15.899,0.194,15.482,0.198,15.118,0.054,14.960,0.036
7277208,118.611394,59.219836,0.297,0.359,20152436,7,30,0.354,0.171,14.191,0.060,14.546,0.160,14.236,0.182,14.069,0.059,13.965,0.059
7277209,118.568318,59.200373,0.944,0.773,20152436,5,17,0.393,0.228,16.159,0.068,16.553,0.218,16.318,0.070,15.949,0.108,15.666,0.133
7277210,118.453986,59.189926,0.403,0.537,20152436,7,30,0.640,0.186,14.825,0.061,15.465,0.175,15.001,0.190,14.609,0.038,14.402,0.098
7277211,118.388119,59.212526,0.388,0.332,20152435,5,17,0.696,0.134,15.231,0.084,15.928,0.104,15.480,0.063,15.000,0.062,14.757,0.030
7277212,118.387784,59.212635,1.042,1.027,20152436,4,15,0.458,0.229,15.208,0.109,15.665,0.202,15.260,0.280,14.984,0.035,14.706,0.090
7277213,118.434242,59.210731,0.151,0.185,20152436,7,30,0.406,0.172,10.991,0.066,11.397,0.159,11.048,0.186,10.863,0.048,10.763,0.059
7277214,118.456208,59.232960,0.262,0.285,20152436,7,30,0.545,0.188,13.171,0.058,13.717,0.179,13.306,0.190,12.976,0.059,12.799,0.065
7277215,118.494277,59.223508,0.834,0.892,20152436,6,23,0.507,0.057,15.671,0.036,16.177,0.044,15.738,0.195,15.446,0.050,15.355,0.125
7277216,118.533054,59.259086,0.194,0.281,20152436,7,30,0.769,0.171,13.776,0.068,14.545,0.156,14.026,0.182,13.483,0.047,13.236,0.060
7277217,118.445876,59.257896,0.180,0.142,20152436,7,30,0.536,0.179,12.783,0.072,13.319,0.163,12.919,0.195,12.594,0.047,12.434,0.050
7277219,118.616999,59.253043,0.193,0.264,20152436,7,30,0.523,0.168,13.399,0.066,13.922,0.154,13.516,0.186,13.214,0.055,13.056,0.058
7277220,118.617112,59.259115,0.497,1.010,20152436,5,16,1.146,0.229,15.837,0.089,16.983,0.211,16.306,0.271,15.527,0.059,14.973,0.330
7277221,118.669916,59.287211,0.778,0.830,20152436,7,27,0.403,0.260,15.689,0.128,16.092,0.226,15.723,0.195,15.458,0.092,15.272,0.117
7277222,118.704812,59.276864,0.499,0.495,20152436,7,30,0.639,0.206,15.068,0.091,15.706,0.185,15.260,0.168,14.835,0.046,14.648,0.099
7277223,118.683830,59.301436,0.532,0.572,20152436,7,29,0.858,0.229,15.117,0.069,15.974,0.219,15.388,0.194,14.797,0.061,14.504,0.096
7277225,118.659704,59.315980,0.386,0.450,20152436,7,30,0.460,0.188,14.495,0.068,14.955,0.175,14.614,0.204,14.329,0.035,14.191,0.146
