|                               id |     ra |     dec |    ra1 |    dec1 |    ra2 |    dec2 |    ra3 |    dec3 |    ra4 |    dec4 |                  l |                   b | n_hostgalaxy |   prob_vol_x_stmass | rank | confidence |      obj |  note |              weight | filter | count | exptime | binning |   ra_hms |   dec_dms |            maxalt |                 transit | moonsep | scheduled |       fraction_obs |
| ada82853600e480898fd06816106c825 | 34.521 | -36.872 | 35.033 | -36.459 | 35.038 | -37.283 | 34.003 | -37.283 | 34.008 | -36.459 | 246.37274170672762 |  -69.27620253208272 |           21 |   1.072019842919575 |   30 |        0.5 | S230830b | 13171 |   1.072019842919575 |    g,r |   6,6 | 300,300 |     1,1 | 02:18:05 | -36:52:19 |             83.77 | 2023-08-30T08:28:59.813 |   60.95 |     False |                0.6 |
| e8ee27d5492941678214a7c8057d15e2 | 28.954 | -35.286 | 29.457 | -34.873 | 29.462 | -35.697 | 28.447 | -35.697 | 28.452 | -34.873 | 247.59758559241902 |  -74.02983305539038 |           19 |  1.0704341697055946 |   31 |        0.5 | S230830b | 13900 |  1.0704341697055946 |    g,r |   6,6 | 300,300 |     1,1 | 01:55:48 | -35:17:09 |             85.36 | 2023-08-30T08:06:43.733 |   56.44 |     False | 0.6333333333333333 |
| 9b5f9854b5b14cd6a689617e3de75ecd | 20.679 | -32.907 | 21.167 | -32.495 | 21.172 | -33.319 | 20.186 | -33.319 |  20.19 | -32.495 | 255.32017980051825 |  -81.10369027680159 |           29 |  1.0619082865205915 |   32 |        0.5 | S230830b | 15021 |  1.0619082865205915 |    g,r |   6,6 | 300,300 |     1,1 | 01:22:42 | -32:54:25 |             87.74 | 2023-08-30T07:33:37.733 |   49.49 |     False | 0.6666666666666666 |
| 3a9e1bce1bec45858fcfb905ef70b1e0 | 26.341 | -36.079 | 26.849 | -35.666 | 26.854 |  -36.49 | 25.829 |  -36.49 | 25.834 | -35.666 |  254.2681628768616 |  -75.46633202401617 |           16 |   1.059067672406801 |   33 |        0.5 | S230830b | 13528 |   1.059067672406801 |    g,r |   6,6 | 300,300 |     1,1 | 01:45:21 | -36:04:44 |             84.57 | 2023-08-30T07:56:16.613 |   54.36 |     False | 0.6666666666666666 |
| f39eb3b80e934e93b558c260ff8675c9 |   49.5 | -45.595 | 50.084 | -45.181 | 50.093 | -46.005 | 48.907 | -46.005 | 48.916 | -45.181 | 255.21823319787111 | -55.634237693707576 |           84 |  1.0480428690526045 |   34 |        0.5 | S230830b |  9425 |  1.0480428690526045 |    g,r |   6,6 | 300,300 |     1,1 | 03:18:00 | -45:35:41 |             75.02 | 2023-08-30T09:28:54.773 |   71.61 |     False | 0.5333333333333333 |
| b16a471ba8374a229b01850c8cac748e | 49.846 | -44.802 | 50.423 | -44.388 | 50.431 | -45.212 | 49.261 | -45.212 |  49.27 | -44.388 | 253.74881641455335 |  -55.66263388277402 |           78 |  1.0454332625279463 |   35 |        0.5 | S230830b |  9746 |  1.0454332625279463 |    g,r |   6,6 | 300,300 |     1,1 | 03:19:23 | -44:48:07 |             75.82 | 2023-08-30T09:30:17.813 |   71.95 |     False | 0.5333333333333333 |
| 6c178155faad4c14a21bb40f983d317a | 50.625 | -45.595 | 51.209 | -45.181 | 51.218 | -46.005 | 50.032 | -46.005 | 50.041 | -45.181 |  254.7638962751047 |  -54.89083333235068 |           51 |  1.0247296893274076 |   36 |        0.5 | S230830b |  9426 |  1.0247296893274076 |    g,r |   6,6 | 300,300 |     1,1 | 03:22:30 | -45:35:41 |             75.02 | 2023-08-30T09:33:24.773 |   72.39 |     False |                0.5 |
| 6ab674db4d1344e0b90db6d883edd83c | 18.653 | -32.115 | 19.137 | -31.702 | 19.141 | -32.526 | 18.164 | -32.526 | 18.169 | -31.702 | 259.04691082776975 |   -82.9155166982279 |           60 |  1.0245713955587692 |   37 |        0.5 | S230830b | 15402 |  1.0245713955587692 |    g,r |   6,6 | 300,300 |     1,1 | 01:14:36 | -32:06:54 |             88.53 | 2023-08-30T07:25:31.493 |   47.72 |     False |                0.7 |
| 5c6e707e9eca496dacb4a042972521d9 | 38.077 | -24.185 | 38.527 | -23.772 |  38.53 | -24.596 | 37.624 | -24.596 | 37.627 | -23.772 | 211.20700630943392 |    -67.117973114226 |            6 |   1.018370391849446 |   38 |        0.5 | S230830b | 19428 |   1.018370391849446 |    g,r |   6,6 | 300,300 |     1,1 | 02:32:18 | -24:11:05 |             83.55 | 2023-08-30T08:43:13.253 |   65.17 |     False | 0.5333333333333333 |
| 2ab2e1721b5a419fa3098a97fb6a2ae8 | 49.091 | -29.736 | 49.563 | -29.323 | 49.567 | -30.147 | 48.614 | -30.147 | 48.618 | -29.323 | 226.30940122925665 |  -58.16099126242363 |           68 |  1.0134211161847642 |   39 |        0.5 | S230830b | 16605 |  1.0134211161847642 |    g,r |   6,6 | 300,300 |     1,1 | 03:16:21 | -29:44:09 |             89.12 | 2023-08-30T09:27:16.613 |   73.84 |     False |                0.5 |
